"movie","longitud_titulo"
"Forest Gump",11
"Titanic",7
"El Padrino",10
"Gladiator",9
"El SeÃ±or de los anillos: El retorno del rey",44
"El caballero oscuro",19
"Cadena perpetua",15
"Piratas del Caribe: La maldiciÃ³n de la Perla Negra",51
"Braveheart",10
"La lista de Schindler",21
"Toy Story",9
"Eduardo Manostijeras",20
"El SeÃ±or de los anillos: La comunidad del anillo",49
"Salvar al soldado Ryan",22
"Regreso al futuro",17
"Monstruos S.A.",14
"Buscando a Nemo",15
"El SeÃ±or de los anillos: Las dos torres",40
"Harry Potter y el Prisionero de Azkaban",39
"American History X",18
"300",3
"El sexto sentido",16
"Pulp Fiction",12
"V de Vendetta",13
"El silencio de los corderos",27
"Rocky",5
"El club de la pelea",19
"E.T",3
"Parque JurÃ¡sico",16
"Matrix",6
"La milla verde",14
"Ratatouille",11
"Grease",6
"El Padrino. Parte II",20
"Wall-E",6
"Iron Man",8
"El exorcista",12
"Piratas del Caribe: El cofre del hombre muerto",46
"Seven",5
"Terminator 2: el juicio final",29
"El resplandor",13
"Hombres de negro",16
"Spider-Man",10
"Regreso al futuro II",20
"El show de Truman",17
"Toy Story 2",11
"Pesadilla antes de navidad",26
"Star Wars. Episodio IV: Una nueva esperanza",43
"Saw",3
"Terminator",10
"Kill Bill Vol. 1",16
"Lo que el viento se llevÃ³",26
"El Laberinto del Fauno",22
"Los increÃ­bles",15
"El viaje de Chihiro",19
"El precio del poder",19
"King Kong",9
"Ben-Hur",7
"Indiana Jones y la Ãºltima cruzada",34
"Infiltrados",11
"Entrevista con el vampiro",25
"Batman Begins",13
"En busca del arca perdida",25
"Star Wars. Episodio III: La venganza de los Sith",48
"Alien",5
"El bueno el feo y el malo",25
"Star Wars. Episodio V: El imperio contraataca",45
"El Padrino. Parte III",21
"Star Wars. Episodio VI: El retorno del Jedi",43
"Escuela de Rock",15
"El planeta de los simios",24
"Rambo",5
"Full Metal Jacket",17
"TiburÃ³n",8
"El profesional",14
"American Beauty",15
"Casablanca",10
"AmÃ©lie",7
"Trainspotting",13
"axi driver",10
"Alguien volÃ³ sobre el nido del cuco",36
"Kill Bill Vol. 2",16
"Spider-Man 2",12
"X-Men 2",7
"Transformers",12
"Star Wars. Episodio I: La amenaza fantasma",42
"Blade Runner",12
"Apocalypse Now",14
"Mejor... imposible",18
"La vida de Brian",16
"El libro de la selva",20
"Los cazafantasmas",17
"Sweeney Todd: El barbero diabÃ³lico de la calle Fleet",53
"Ocean's Eleven",14
"Blancanieves y los siete enanitos",33
"Predator",8
"Indiana Jones y el templo maldito",33
"Uno de los nuestros",19
"Mouling Rouge",13
"Psicosis",8
